Title,Video url,Duration in minutes
BTS - Dynamite (Karaoke Version),https://www.youtube.com/watch?v=V9aFf48jLPQ,3.68
Clean Bandit ft. Sean Paul & Anne-Marie  - Rockabye (Karaoke Version),https://www.youtube.com/watch?v=Gl78zFKbQbE,4.55
The Beatles - Yesterday (Karaoke Version),https://www.youtube.com/watch?v=uw3zzQ-5g4o,2.37
JVKE - golden hour (Karaoke Version),https://www.youtube.com/watch?v=ju03AIeny2Q,3.55
Hoobastank - The Reason (Karaoke Version),https://www.youtube.com/watch?v=Mk5JYEFcGnU,4.18
Cyndi Lauper - Girls Just Want To Have Fun (Karaoke Version),https://www.youtube.com/watch?v=-Fg7m1ZqkxI,4.12
Gotye and Kimbra - Somebody That I Used To Know (Karaoke Version),https://www.youtube.com/watch?v=toHUpXZRgTQ,4.42
High School Musical - Breaking Free (Karaoke Version),https://www.youtube.com/watch?v=YwP9YSnOayk,3.77
Sia - Unstoppable (Karaoke Version),https://www.youtube.com/watch?v=v464ay9eei0,4.13
Bobby Helms - Jingle Bell Rock (Karaoke Version),https://www.youtube.com/watch?v=u0yAWWpqFHQ,2.53
Billie Eilish - i love you (Karaoke Version),https://www.youtube.com/watch?v=PTmcRmDyJlY,5.12
Britney Spears - Toxic (Karaoke Version),https://www.youtube.com/watch?v=prgoLEZTit0,3.63
The Beatles - Hey Jude (Karaoke Version),https://www.youtube.com/watch?v=enmHYsoCMkQ,7.8
*NSYNC - This I Promise You (Karaoke Version),https://www.youtube.com/watch?v=yFeX4dRdi_o,4.72
Lady Gaga - I'll Never Love Again (Karaoke Version),https://www.youtube.com/watch?v=lOx30dknDos,5
Britney Spears - Everytime (Karaoke Version),https://www.youtube.com/watch?v=2EaDDg5tVUg,4.38
Louis Armstrong - What A Wonderful World (Karaoke Version),https://www.youtube.com/watch?v=nkaOdoxNTB0,2.72
Taylor Swift - Look What You Made Me Do (Karaoke Version),https://www.youtube.com/watch?v=Rbtq0bHlvmU,3.78
Demi Lovato - Heart Attack (Karaoke Version),https://www.youtube.com/watch?v=_vdDJ4qNHAI,3.87
Pink Sweat$ - At My Worst (Karaoke Version),https://www.youtube.com/watch?v=FsKcCqLS91w,3.22
Billie Eilish - everything i wanted (Karaoke Version),https://www.youtube.com/watch?v=0J_z7RjLZfo,4.32
Neil Diamond  - Sweet Caroline (Karaoke Version),https://www.youtube.com/watch?v=srLoAl1mhFw,4.02
Plain White T's - Hey There Delilah (Karaoke Version),https://www.youtube.com/watch?v=ZakEbWobIj0,4.42
Hillsong UNITED - Oceans (Where Feet May Fail) (Karaoke Version),https://www.youtube.com/watch?v=RYcjiDrljHI,9.2
BLACKPINK - Kill This Love (Karaoke version),https://www.youtube.com/watch?v=YoWJa7GWzk4,3.5
Imagine Dragons - Bad Liar (Karaoke Version),https://www.youtube.com/watch?v=z2-8U9XeArs,4.55
Westlife - My Love (Karaoke Version),https://www.youtube.com/watch?v=SMBliIvBigU,4.05
Carly Rae Jepsen - Call Me Maybe (Karaoke Version),https://www.youtube.com/watch?v=qG520Uw8lUA,3.58
"Dove Cameron - If Only (from Disney ""Descendants"") (Karaoke Version)",https://www.youtube.com/watch?v=fTRa0BuPlwA,4.27
Beauty And The Beast - Tale As Old As Time (Karaoke Version),https://www.youtube.com/watch?v=dWoGvNofjbM,2.92
Britney Spears - Sometimes (Karaoke Version),https://www.youtube.com/watch?v=Z3r9X3_37LQ,4.07
Lady Gaga - Million Reasons (Karaoke Version),https://www.youtube.com/watch?v=BliQLvRf2EI,3.77
Olivia Rodrigo - deja vu (Karaoke Version),https://www.youtube.com/watch?v=8iBJPvRXqgQ,3.98
Cardi B - Bodak Yellow (Karaoke Version),https://www.youtube.com/watch?v=1g8S-enLQ60,3.85
We The Kings ft. Elena Coats - Sad Song (Karaoke Version),https://www.youtube.com/watch?v=g94DBEV1kVA,3.98
Evanescence - My Immortal (Karaoke Version),https://www.youtube.com/watch?v=Dv4s4KFptCE,5.03
Ed Sheeran - The A Team (Karaoke Version),https://www.youtube.com/watch?v=t4ePY7LqFV4,4.67
Christina Aguilera - Reflection (Karaoke Version),https://www.youtube.com/watch?v=xr_iai07tes,3.87
Clean Bandit ft. Zara Larsson - Symphony (Karaoke Version),https://www.youtube.com/watch?v=Azyv_umdqvk,3.93
Imagine Dragons - Radioactive (Karaoke Version),https://www.youtube.com/watch?v=eGpM33XHyoE,3.68
Meghan Trainor - NO (Karaoke Version),https://www.youtube.com/watch?v=Qcc9zdXowPQ,4.3
LeAnn Rimes - How Do I Live (Karaoke Version),https://www.youtube.com/watch?v=34xr8xYLYPo,5.13
Paloma Faith - Only Love Can Hurt Like This (Karaoke Version),https://www.youtube.com/watch?v=sNuLpPuWM68,4.33
Cyndi Lauper - Time After Time (Karaoke Version),https://www.youtube.com/watch?v=zmrme4ulxIY,4.87
